service_id,date,exception_type
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231127,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231128,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231129,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231130,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231201,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231204,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231205,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231206,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231207,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231208,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231211,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231212,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231213,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231214,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231215,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231218,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231219,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231220,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231221,1
chouette:TimeTable:6cb1fcc0-8bd0-4d16-af8b-95eb2436e0c5:LOC,20231222,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231125,1
chouette:TimeTable:34e63e82-b1e9-47b6-8b7e-cfa8312cd572:LOC,20231128,1
